Name,Feature,Full Address,Street,Municipality,Categories,,Phones,,Review Count,Average Rating,Review URL,Google Maps URL,Cid,Google Knowledge URL,,Latitude,Longitude,Website,Domain,Opening Hours
Harry & Izzy's,Modern twist on an old-school steakhouse,"7800 Col. H. Weir Cook Memorial Dr, Indianapolis, IN 46241",7800 Col. H. Weir Cook Memorial Dr,Indianapolis,"American restaurant, Restaurant, Steak house",,"(317) 241-0533, +1 317-241-0533",,403,4.1,https://search.google.com/local/reviews?placeid=ChIJyVkqMwCnbIgRlx-6g6v7JfM&q=restaurants+near+indianapolis+airport&authuser=0&hl=en&gl=US,https://www.google.com/maps?cid=17520686639422775191,1.75207E+19,https://www.google.com/search?kgmid=/g/1tglj1d7&kponly,,39.7141093,-86.2962959,http://www.harryandizzys.com/,harryandizzys.com,"Monday:[7AM-8PM], Tuesday:[7AM-8PM], Wednesday:[7AM-8PM], Thursday:[7AM-8PM], Friday:[7AM-8PM], Saturday:[7AM-8PM], Sunday:[7AM-8PM]"
Shapiro's Delicatessen at IND Airport,,"Indianapolis International Airport, 7800 Col H Weir Cook Mem Drive Gate B14, Indianapolis, IN 46241",Indianapolis International Airport,Indianapolis,"Restaurant, Deli, Sandwich shop",,,,82,2.8,https://search.google.com/local/reviews?placeid=ChIJ11J64XSnbIgRjwnxf-41w8w&q=restaurants+near+indianapolis+airport&authuser=0&hl=en&gl=US,https://www.google.com/maps?cid=14754696102660868495,1.47547E+19,https://www.google.com/search?kgmid=/g/1vk6zzy_&kponly,,39.7174617,-86.2971488,https://shapiros.com/,shapiros.com,"Monday:[5:30AM-6PM], Tuesday:[5:30AM-6PM], Wednesday:[5:30AM-6PM], Thursday:[5:30AM-6PM], Friday:[5:30AM-6PM], Saturday:[5:30AM-6PM], Sunday:[5:30AM-6PM]"
Nature's Table,Health-conscious fast-food chain,"Indianapolis Airport 7800 Col H Weir Cook Memorial Drive Concession Retail Space 11T.340E, Indianapolis, IN 46241",Indianapolis Airport 7800 Col H Weir Cook Memorial Drive Concession Retail Space 11T.340E,Indianapolis,"Health food restaurant, Breakfast restaurant",,"(317) 247-3679, +1 317-247-3679",,60,3.7,https://search.google.com/local/reviews?placeid=ChIJ5e4X2v-mbIgRgxFry2F2blE&q=restaurants+near+indianapolis+airport&authuser=0&hl=en&gl=US,https://www.google.com/maps?cid=5867757526907031939,5.86776E+18,https://www.google.com/search?kgmid=/g/11bzzy0x8p&kponly,,39.7149036,-86.2974099,http://naturestable.com/,naturestable.com,"Monday:[10AM-6PM], Tuesday:[10AM-6PM], Wednesday:[10AM-6PM], Thursday:[10AM-6PM], Friday:[10AM-6PM], Saturday:[10AM-6PM], Sunday:[10AM-6PM]"
Bento Sushi,,"PP83+3W, Indianapolis, IN 46241",PP83+3W,Indianapolis,"Takeout Restaurant, Sushi restaurant",,,,6,3.5,https://search.google.com/local/reviews?placeid=ChIJuyDU21WnbIgRzDHKHB-m1O4&q=restaurants+near+indianapolis+airport&authuser=0&hl=en&gl=US,https://www.google.com/maps?cid=17209562728646717900,1.72096E+19,https://www.google.com/search?kgmid=/g/11rq0cmmf2&kponly,,39.7151707,-86.2951459,,,
Champps,Convivial sports bar & grill chain,"B5 Indianapolis International Airport Indianapolis IN 46241 US, Indianapolis, IN 46241",B5 Indianapolis International Airport Indianapolis IN 46241 US,Indianapolis,"American restaurant, Bar",,,,134,2.5,https://search.google.com/local/reviews?placeid=ChIJSStpjP-mbIgRyn_nMDsbEhI&q=restaurants+near+indianapolis+airport&authuser=0&hl=en&gl=US,https://www.google.com/maps?cid=1302133183300992970,1.30213E+18,https://www.google.com/search?kgmid=/g/11f3r_r64y&kponly,,39.7160744,-86.2990233,https://champps.com/,champps.com,"Monday:[9AM-7:30PM], Tuesday:[10AM-7:30PM], Wednesday:[10AM-7:30PM], Thursday:[10AM-8PM], Friday:[10AM-7:30PM], Saturday:[10AM-7:30PM], Sunday:[10AM-7:30PM]"
Farmer's Fridge,,"7800 Col. H. Weir Cook Memorial Dr, Indianapolis, IN 46241",7800 Col. H. Weir Cook Memorial Dr,Indianapolis,"Health food restaurant, Cafeteria, Delivery service, Restaurant, Salad shop",,"(312) 229-0099, +1 312-229-0099",,9,4.7,https://search.google.com/local/reviews?placeid=ChIJM2jFfX6nbIgR0eFhuWa2xbI&q=restaurants+near+indianapolis+airport&authuser=0&hl=en&gl=US,https://www.google.com/maps?cid=12881902861476291025,1.28819E+19,https://www.google.com/search?kgmid=/g/11j1m657kd&kponly,,39.7146466,-86.2982262,https://www.farmersfridge.com/,farmersfridge.com,"Monday:[Open 24 hours], Tuesday:[Open 24 hours], Wednesday:[Open 24 hours], Thursday:[Open 24 hours], Friday:[Open 24 hours], Saturday:[Open 24 hours], Sunday:[Open 24 hours]"
Vinea,,"7800 Col. H. Weir Cook Memorial Dr Civic Plaza, Indianapolis, IN 46241",7800 Col. H. Weir Cook Memorial Dr Civic Plaza,Indianapolis,"Wine bar, European restaurant",,,,15,2.5,https://search.google.com/local/reviews?placeid=ChIJ8-tB3f-mbIgRcTBycjIr4kg&q=restaurants+near+indianapolis+airport&authuser=0&hl=en&gl=US,https://www.google.com/maps?cid=5251807611135864945,5.25181E+18,https://www.google.com/search?kgmid=/g/1tcwrwxp&kponly,,39.7153522,-86.2976647,,,"Monday:[7AM-7:45PM], Tuesday:[7AM-7:45PM], Wednesday:[7AM-7:45PM], Thursday:[7AM-7:45PM], Friday:[7AM-7:45PM], Saturday:[8AM-6:30PM], Sunday:[8AM-7:45PM]"
The Fan Zone Sport Bar,,"Indianapolis, IN 46241","Indianapolis, IN 46241",Indianapolis,Bar,,,,96,4.1,https://search.google.com/local/reviews?placeid=ChIJd3r_yaqnbIgROO2gQcc0MmA&q=restaurants+near+indianapolis+airport&authuser=0&hl=en&gl=US,https://www.google.com/maps?cid=6931660806880816440,6.93166E+18,https://www.google.com/search?kgmid=/g/11c506tlbl&kponly,,39.7179806,-86.2967803,,,"Monday:[7AM-8PM], Tuesday:[7AM-8PM], Wednesday:[7AM-8PM], Thursday:[7AM-8PM], Friday:[7AM-8PM], Saturday:[7AM-8PM], Sunday:[7AM-8PM]"
McDonald's,Iconic fast-food burger & fries chain,"7800 Col. H. Weir Cook Memorial Dr, Indianapolis, IN 46241",7800 Col. H. Weir Cook Memorial Dr,Indianapolis,"Fast food restaurant, Breakfast restaurant, Coffee shop, Hamburger restaurant, Restaurant, Sandwich shop",,"(317) 270-9008, +1 317-270-9008",,132,3.1,https://search.google.com/local/reviews?placeid=ChIJLaifxv-mbIgRdBlrJiKI124&q=restaurants+near+indianapolis+airport&authuser=0&hl=en&gl=US,https://www.google.com/maps?cid=7987002144419682676,7.987E+18,https://www.google.com/search?kgmid=/g/1w4f8vt4&kponly,,39.7148812,-86.2974891,https://www.mcdonalds.com/us/en-us/location/IN/INDIANAPOLIS/7800-COL-H-WEIR-COOK-MEMORIAL-DRIVE/33390.html?cid=RF:YXT:GMB::Clicks,mcdonalds.com,"Monday:[4:30AM-8PM], Tuesday:[4:30AM-8PM], Wednesday:[4:30AM-8PM], Thursday:[4:30AM-8PM], Friday:[4:30AM-8PM], Saturday:[4:30AM-8PM], Sunday:[4:30AM-8PM]"
Chick-fil-A,Fast-food chain for chicken sandwiches,"7800 Col H Weir Cook Mem Dr, Indianapolis, IN 46241",7800 Col H Weir Cook Mem Dr,Indianapolis,"Fast food restaurant, Breakfast restaurant, Caterer, Chicken restaurant, Delivery service, Family restaurant",,,,115,3.4,https://search.google.com/local/reviews?placeid=ChIJJ0_m2v-mbIgRvts3xkk2Ans&q=restaurants+near+indianapolis+airport&authuser=0&hl=en&gl=US,https://www.google.com/maps?cid=8863706707104619454,8.86371E+18,https://www.google.com/search?kgmid=/g/11cnbffm83&kponly,,39.7146466,-86.2982262,https://www.chick-fil-a.com/indianapolisinternationalairport,chick-fil-a.com,"Monday:[8AM-6PM], Tuesday:[8AM-6PM], Wednesday:[8AM-6PM], Thursday:[8AM-6PM], Friday:[8AM-6PM], Saturday:[8AM-6PM], Sunday:[Closed]"
Harry & Izzy's,Modern twist on an old-school steakhouse,"153 S Illinois St, Indianapolis, IN 46225",153 S Illinois St,Indianapolis,"American restaurant, Restaurant, Steak house",,"(317) 635-9594, +1 317-635-9594",,2963,4.7,https://search.google.com/local/reviews?placeid=ChIJc5jIp7xQa4gRyBw22V5K24k&q=restaurants+near+indianapolis&authuser=0&hl=en&gl=US,https://www.google.com/maps?cid=9933615174327344328,9.93362E+18,https://www.google.com/search?kgmid=/g/1tg6qw1j&kponly,,39.764575,-86.15966,http://www.harryandizzys.com/,harryandizzys.com,"Monday:[11AM-10PM], Tuesday:[11AM-10PM], Wednesday:[11AM-10PM], Thursday:[11AM-10PM], Friday:[11AM-11PM], Saturday:[11AM-11PM], Sunday:[12-9PM]"
Mesh - Indianapolis,Upscale eatery for modern fare,"725 Massachusetts Ave, Indianapolis, IN 46204",725 Massachusetts Ave,Indianapolis,"American restaurant, Bar, Seafood restaurant",,"(317) 955-9600, +1 317-955-9600",,1276,4.4,https://search.google.com/local/reviews?placeid=ChIJF7ujvO1Qa4gRvr9-aFMpudc&q=restaurants+near+indianapolis&authuser=0&hl=en&gl=US,https://www.google.com/maps?cid=15544501027058139070,1.55445E+19,https://www.google.com/search?kgmid=/g/1vlzc33v&kponly,,39.7767191,-86.1461999,https://www.meshrestaurants.com/#loc3,meshrestaurants.com,"Monday:[11AM-10PM], Tuesday:[11AM-10PM], Wednesday:[11AM-10PM], Thursday:[11AM-10PM], Friday:[11AM-10PM], Saturday:[11AM-10PM], Sunday:[10AM-9PM]"
Livery - Indianapolis,Fashionable choice for Latin cuisine,"720 N College Ave, Indianapolis, IN 46202",720 N College Ave,Indianapolis,"Latin American restaurant, Bar, Fusion restaurant, Restaurant",,"(317) 383-0330, +1 317-383-0330",,1756,4.7,https://search.google.com/local/reviews?placeid=ChIJwZH4me1Qa4gRZggPtsX015Q&q=restaurants+near+indianapolis&authuser=0&hl=en&gl=US,https://www.google.com/maps?cid=10725310167606298726,1.07253E+19,https://www.google.com/search?kgmid=/g/11c2l25hxr&kponly,,39.7766517,-86.1454802,http://www.livery-restaurant.com/,livery-restaurant.com,"Monday:[4-10PM], Tuesday:[4-10PM], Wednesday:[4-10PM], Thursday:[4-10PM], Friday:[4-11PM], Saturday:[4-11PM], Sunday:[4-9PM]"
The Eagle,Informal gastropub serving comfort food,"310 Massachusetts Ave, Indianapolis, IN 46204",310 Massachusetts Ave,Indianapolis,"Chicken restaurant, Bar",,"(317) 929-1799, +1 317-929-1799",,3531,4.5,https://search.google.com/local/reviews?placeid=ChIJZ0m8cZVQa4gRs7k9bnMcKSk&q=restaurants+near+indianapolis&authuser=0&hl=en&gl=US,https://www.google.com/maps?cid=2965933111696538035,2.96593E+18,https://www.google.com/search?kgmid=/g/11bxft8wh8&kponly,,39.7718129,-86.1539722,http://www.eaglerestaurant.com/,eaglerestaurant.com,"Monday:[4-11PM], Tuesday:[4-11PM], Wednesday:[4-11PM], Thursday:[4-11PM], Friday:[11AM-12AM], Saturday:[11AM-12AM], Sunday:[11AM-10PM]"
Tony's of Indianapolis,Upscale steakhouse with notable wines,"110 W Washington St, Indianapolis, IN 46204",110 W Washington St,Indianapolis,"Steak house, Fine dining restaurant, Restaurant, Seafood restaurant",,"(317) 638-8669, +1 317-638-8669",,683,4.7,https://search.google.com/local/reviews?placeid=ChIJMRn_jLtQa4gR_zaWVA0Fkbs&q=restaurants+near+indianapolis&authuser=0&hl=en&gl=US,https://www.google.com/maps?cid=13515589511527413503,1.35156E+19,https://www.google.com/search?kgmid=/g/11g2wxysgw&kponly,,39.7673198,-86.1607439,https://www.tonysofindianapolis.com/,tonysofindianapolis.com,"Monday:[5-9PM], Tuesday:[5-9PM], Wednesday:[5-9PM], Thursday:[5-9PM], Friday:[5-10PM], Saturday:[5-10PM], Sunday:[5-9PM]"
Root & Bone - Indianapolis,Hip eatery with carefully sourced fare,"4601 N College Ave, Indianapolis, IN 46205",4601 N College Ave,Indianapolis,"Southern restaurant (US), Restaurant",,"(317) 602-8672, +1 317-602-8672",,548,4.5,https://search.google.com/local/reviews?placeid=ChIJVVUF_dlTa4gROgc2W4FrmH0&q=restaurants+near+indianapolis&authuser=0&hl=en&gl=US,https://www.google.com/maps?cid=9050101654526232378,9.0501E+18,https://www.google.com/search?kgmid=/g/11j20hm2tr&kponly,,39.8398022,-86.1447686,https://www.rootnboneindy.com/,rootnboneindy.com,"Monday:[4-10PM], Tuesday:[4-10PM], Wednesday:[4-10PM], Thursday:[4-10PM], Friday:[4-10PM], Saturday:[9AM-10PM], Sunday:[9AM-9PM]"
Yard House,Upscale sports bar with many draft beers,"15 W Maryland St, Indianapolis, IN 46204",15 W Maryland St,Indianapolis,"New American restaurant, Bar, Bar & grill, Gastropub, Takeout Restaurant, Sports bar, Vegetarian restaurant",,"(317) 917-4408, +1 317-917-4408",,2766,4.4,https://search.google.com/local/reviews?placeid=ChIJUYeec71Qa4gRyRvSkhRsUxo&q=restaurants+near+indianapolis&authuser=0&hl=en&gl=US,https://www.google.com/maps?cid=1896978703671499721,1.89698E+18,https://www.google.com/search?kgmid=/g/11b7bn1c9j&kponly,,39.7653282,-86.1591399,https://www.yardhouse.com/locations/in/indianapolis/indianapolis-circle-centre/8360?cmpid=br:yh_ag:ie_ch:dry_ca:YHGMB_sn:gmb_gt:indianapolis-in-8360_pl:locurl_rd:1057,yardhouse.com,"Monday:[11AM-10:30PM], Tuesday:[11AM-10:30PM], Wednesday:[11AM-10:30PM], Thursday:[11AM-10:30PM], Friday:[11AM-11:30PM], Saturday:[11AM-11:30PM], Sunday:[11AM-10:30PM]"
Fogo de Chão Brazilian Steakhouse,Upmarket Brazilian churrascaria,"117 E Washington St, Indianapolis, IN 46204",117 E Washington St,Indianapolis,"Brazilian restaurant, Restaurant, Steak house",,"(317) 638-4000, +1 317-638-4000",,6237,4.6,https://search.google.com/local/reviews?placeid=ChIJUd6-kL1Qa4gRX1tBFOTvo2g&q=restaurants+near+indianapolis&authuser=0&hl=en&gl=US,https://www.google.com/maps?cid=7540133964019751775,7.54013E+18,https://www.google.com/search?kgmid=/g/1tdzgr76&kponly,,39.766715,-86.1554682,http://www.fogo.com/,fogo.com,"Monday:[11:30AM-2PM], Tuesday:[11:30AM-2PM], Wednesday:[11:30AM-2PM], Thursday:[11:30AM-2PM], Friday:[11:30AM-2PM], Saturday:[11:30AM-10:30PM], Sunday:[11:30AM-9PM]"
Nada,Stylish spot for refined Mexican fare,"11 W Maryland St, Indianapolis, IN 46204",11 W Maryland St,Indianapolis,"Mexican restaurant, Bar, Brunch restaurant, Restaurant, Small plates restaurant, Taco restaurant",,"(317) 638-6232, +1 317-638-6232",,2182,4.4,https://search.google.com/local/reviews?placeid=ChIJccxl8rxQa4gRMZVqAEys2vc&q=restaurants+near+indianapolis&authuser=0&hl=en&gl=US,https://www.google.com/maps?cid=17859776714715600177,1.78598E+19,https://www.google.com/search?kgmid=/g/11clvtg04g&kponly,,39.7654668,-86.1586887,http://eatdrinknada.com/,eatdrinknada.com,"Monday:[11AM-10PM], Tuesday:[11AM-10PM], Wednesday:[11AM-10PM], Thursday:[11AM-10PM], Friday:[11AM-10PM], Saturday:[11AM-10PM], Sunday:[11AM-10PM]"
Prime 47- Indy's Steakhouse,Upscale steakhouse in unique building,"47 S Pennsylvania St, Indianapolis, IN 46204",47 S Pennsylvania St,Indianapolis,"Steak house, Fine dining restaurant, Seafood restaurant",,"(317) 624-0720, +1 317-624-0720",,772,4.6,https://search.google.com/local/reviews?placeid=ChIJKfHsDL1Qa4gRGJ3g9Inh5r0&q=restaurants+near+indianapolis&authuser=0&hl=en&gl=US,https://www.google.com/maps?cid=13683872500446960920,1.36839E+19,https://www.google.com/search?kgmid=/g/1pp2v08xb&kponly,,39.76584,-86.15609,https://www.steakhouseindianapolis.com/,steakhouseindianapolis.com,"Monday:[5-9PM], Tuesday:[5-9PM], Wednesday:[5-9PM], Thursday:[5-9PM], Friday:[5-10PM], Saturday:[5-10PM], Sunday:[Closed]"
